xmin,ymin,xmax,ymax,label,score,geometry,area,x,y
0.0,156.0,34.0,191.0,Tree,0.4238514304161072,"POLYGON ((34 156, 34 191, 0 191, 0 156, 34 156))",1190.0,17.0,173.5
475.0,81.0,534.0,133.0,Tree,0.4041821360588074,"POLYGON ((534 81, 534 133, 475 133, 475 81, 534 81))",3068.0,504.5,107.0
209.0,412.0,267.0,471.0,Tree,0.2880808413028717,"POLYGON ((267 412, 267 471, 209 471, 209 412, 267 412))",3422.0,238.0,441.5
0.0,220.0,13.0,251.0,Tree,0.20955176651477814,"POLYGON ((13 220, 13 251, 0 251, 0 220, 13 220))",403.0,6.5,235.5
378.0,299.0,468.0,391.0,Tree,0.19372236728668213,"POLYGON ((468 299, 468 391, 378 391, 378 299, 468 299))",8280.0,423.0,345.0
219.0,508.0,261.0,545.0,Tree,0.1399354189634323,"POLYGON ((261 508, 261 545, 219 545, 219 508, 261 508))",1554.0,240.0,526.5
0.0,0.0,13.0,26.0,Tree,0.12931255996227264,"POLYGON ((13 0, 13 26, 0 26, 0 0, 13 0))",338.0,6.5,13.0
139.0,351.0,186.0,398.0,Tree,0.12770774960517883,"POLYGON ((186 351, 186 398, 139 398, 139 351, 186 351))",2209.0,162.5,374.5
0.0,257.0,28.0,304.0,Tree,0.12745822966098785,"POLYGON ((28 257, 28 304, 0 304, 0 257, 28 257))",1316.0,14.0,280.5
589.0,20.0,600.0,66.0,Tree,0.12138126790523529,"POLYGON ((600 20, 600 66, 589 66, 589 20, 600 20))",506.0,594.5,43.0
481.0,176.0,541.0,233.0,Tree,0.1164131760597229,"POLYGON ((541 176, 541 233, 481 233, 481 176, 541 176))",3420.0,511.0,204.5
492.0,29.0,525.0,63.0,Tree,0.106909841299057,"POLYGON ((525 29, 525 63, 492 63, 492 29, 525 29))",1122.0,508.5,46.0
101.0,410.0,126.0,437.0,Tree,0.10138723999261856,"POLYGON ((126 410, 126 437, 101 437, 101 410, 126 410))",675.0,113.5,423.5
